Name,Industry,"Maternity Leave
Paid (weeks)","Maternity Leave
Unpaid (weeks)","Paternity Leave
Paid (weeks)","Paternity Leave
Unpaid (weeks)"
ClassPass,Wellness & Fitness,14,12,4,N/A
Equinox,Wellness & Fitness,6,12,N/A,N/A
Enterprise Holdings,Transportation: Rental,17,17,N/A,N/A
"Hertz Global Holdings, Inc.",Transportation: Rental,12,0,N/A,N/A
"Avis Budget Group, Inc.",Transportation: Rental,6,6,N/A,N/A
SalonCentric,Wholesale,14,0,N/A,N/A
Worldwide Produce,Wholesale,6,0,N/A,N/A
Larson-Juhl,Wholesale,5,2,2,0
Amtrak,Transportation: Rail,12,0,N/A,N/A
Union Pacific Railroad,Transportation: Rail,12,4,N/A,N/A
United Airlines,Transportation: Passenger Air,12,0,N/A,N/A
Southwest Airlines Co.,Transportation: Passenger Air,12,12,N/A,N/A
American Airlines,Transportation: Passenger Air,10.5,6,N/A,N/A
"Delta Air Lines, Inc.",Transportation: Passenger Air,6,16,N/A,N/A
HAVI Global Solutions,Transportation: Freight & Logistics,24,48,N/A,N/A
Dematic,Transportation: Freight & Logistics,6,6,N/A,N/A
Schneider National,Transportation: Freight & Logistics,0,N/A,N/A,N/A
C.A.R. Transport Inc.,Transportation: Freight & Logistics,0,12,N/A,N/A
FedEx,Transportation: Couriers & Delivery,50,50,N/A,N/A
Central Ohio Transit Authority,Transportation: Bus,10,12,N/A,N/A
BART,Transportation: Bus,6,14,N/A,N/A
Viasat,Telecommunications,14,0,6,N/A
Asurion,Telecommunications,12,8,N/A,N/A
Sprint Corporation,Telecommunications,12,0,N/A,4
Crown Castle International Corporation,Telecommunications,12,26,N/A,N/A
Qualcomm Incorporated,Telecommunications,12,12,N/A,N/A
"RingCentral, Inc.",Telecommunications,10,4,N/A,N/A
AT&T,Telecommunications,10,3,N/A,N/A
T-Mobile,Telecommunications,10,4,N/A,N/A
Verizon,Telecommunications,8,0,N/A,N/A
Comcast,Telecommunications,8,4,N/A,N/A
Zoom,Telecommunications,6,6,N/A,N/A
Spectrum,Telecommunications,8,12,N/A,N/A
Nokia,Telecommunications,4,6,N/A,N/A
Bitdefender,Technology: Software,52,N/A,N/A,N/A
Rangle.io,Technology: Software,52,N/A,N/A,N/A
JHC Systems,Technology: Software,52,N/A,N/A,N/A
"Zendesk, Inc",Technology: Software,52,N/A,N/A,N/A
Palantir,Technology: Software,30,38,N/A,N/A
Salesforce,Technology: Software,26,0,N/A,N/A
PandaDoc,Technology: Software,20,N/A,N/A,N/A
Bounce Exchange,Technology: Software,20,N/A,N/A,N/A
SAP,Technology: Software,12,12,N/A,N/A
ServiceNow,Technology: Software,20,N/A,12,N/A
VMware,Technology: Software,18,0,N/A,N/A
Slack Technologies,Technology: Software,18,N/A,12,N/A
Citrix,Technology: Software,18,0,N/A,N/A
MicroStrategy,Technology: Software,17,N/A,N/A,N/A
Adobe Systems,Technology: Software,17,15,N/A,N/A
Ceridian,Technology: Software,14,N/A,N/A,N/A
"Cornerstone OnDemand, Inc.",Technology: Software,14,N/A,6,12
Informatica,Technology: Software,16,0,N/A,N/A
Symphony Talent,Technology: Software,16,N/A,N/A,N/A
Addepar,Technology: Software,16,N/A,10,N/A
Palo Alto Networks,Technology: Security,16,23,N/A,N/A
Tanium,Technology: Security,20,0,8,N/A
Forcepoint,Technology: Security,12,6,N/A,N/A
Allegion PLC,Technology: Security,8,4,N/A,N/A
Coalfire,Technology: Security,10,6,N/A,N/A
Alarm.com,Technology: Security,6,0,N/A,N/A
Raytheon,Technology: Security,4,3,N/A,N/A
Magic Leap,Technology: Research,18,0,N/A,N/A
Waters Corporation,Technology: Research,1,11,N/A,N/A
Klarna,Technology: Payments,20,N/A,20,N/A
Pangea Money Transfer,Technology: Payments,12,0,N/A,N/A
Ingenico Group,Technology: Payments,12,40,N/A,N/A
Plastiq,Technology: Payments,12,6,N/A,N/A
MineralTree,Technology: Payments,12,0,N/A,N/A
Juniper Networks,Technology: Manufacturing,16,40,N/A,N/A
IBM,Technology: Manufacturing,12,0,12,N/A
Apple,Technology: Manufacturing,15,10.5,N/A,N/A
Cisco,Technology: Manufacturing,13,3,N/A,N/A
"Micron Technology, Inc.",Technology: Manufacturing,12,N/A,12,12
PlayStation,Technology: Manufacturing,12,N/A,N/A,N/A
Itron,Technology: Manufacturing,12,4,N/A,N/A
Texas Instruments,Technology: Manufacturing,12,N/A,4,N/A
Snap Inc.,Technology: Manufacturing,12,0,N/A,N/A
KLA-Tencor Corporation,Technology: Manufacturing,12,6,N/A,N/A
Advanced Micro Devices,Technology: Manufacturing,12,0,N/A,N/A
Analog Devices Inc,Technology: Manufacturing,11,1,N/A,N/A
Ericsson,Technology: Manufacturing,11,12,N/A,N/A
Intel Corporation,Technology: Manufacturing,8,12,N/A,N/A
Dell Technologies,Technology: Manufacturing,9,0,12,N/A
HP Inc.,Technology: Manufacturing,9,12,N/A,N/A
Audible,Technology: Manufacturing,8,12,N/A,N/A
Trimble,Technology: Manufacturing,6,6,N/A,N/A
Seagate Technology,Technology: Manufacturing,6,0,N/A,N/A
Western Digital Corporation,Technology: Manufacturing,4,4,N/A,N/A
Electronic Arts,Technology: Gaming,10,N/A,10,N/A
Casino Football,Technology: Gaming,6,4,N/A,N/A
Zwift,Technology: Gaming,4.5,3,N/A,N/A
Funding Circle,Technology: Financial Services,13,N/A,2,N/A
Kabbage,Technology: Financial Services,12,0,N/A,N/A
FIS Global,Technology: Financial Services,4.5,0,N/A,N/A
Personal Capital,Technology: Financial Services,2,0,6,N/A
"Airbnb, Inc.",Technology: Consumer Internet,30,8,N/A,N/A
Shopify,Technology: Consumer Internet,26,N/A,N/A,N/A
Dropbox,Technology: Consumer Internet,24,N/A,24,24
Rally Health,Technology: Consumer Internet,18,0,N/A,N/A
