Industry,"Total
employed",Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
"Total, 16 years and over","157,538",47.0,77.7,12.3,6.5,17.6
"Agriculture, forestry, fishing, and hunting","2,425",26.2,93.0,2.2,1.7,27.5
"Mining, quarrying, and oil and gas extraction",750,15.8,86.7,5.1,3.7,20.1
Construction,"11,373",10.3,88.1,6.4,1.9,30.4
Manufacturing,"15,741",29.4,79.5,10.4,6.8,16.8
Wholesale and retail trade,"19,742",44.2,78.6,11.7,5.7,18.1
Transportation and utilities,"8,991",24.1,71.0,20.1,5.6,18.8
Information,"2,766",40.5,76.9,11.3,8.5,12.5
Financial activities,"10,765",52.6,79.6,10.5,7.5,12.9
Professional and business services,"19,606",41.3,77.4,10.0,9.6,16.0
Education and health services,"35,894",74.8,75.3,15.1,6.4,13.5
Leisure and hospitality,"14,643",51.2,74.6,13.1,6.9,24.0
Other services,"7,617",53.9,77.7,10.6,8.4,19.9
Public administration,"7,225",45.7,73.9,17.5,4.7,12.5
