Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2
Proportion of women in managerial positions,Southern Asia,50,Bangladesh,2010,Female,-,-,-,14.8,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-
Proportion of women in managerial positions,Southern Asia,50,Bangladesh,2006,Female,-,-,-,9.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-
Proportion of women in managerial positions,Southern Asia,50,Bangladesh,2013,Female,-,-,-,13.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-
Proportion of women in managerial positions,Southern Asia,50,Bangladesh,2016,Female,-,-,-,11.4,-,-,Percentage,Country data,-,Population coverage: Excluding both institutional population and armed forces and/or conscripts;,-
Proportion of women in managerial positions,Southern Asia,50,Bangladesh,2017,Female,-,-,-,10.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-
Proportion of women in managerial positions,Southern Asia,64,Bhutan,2013,Female,-,-,-,17,-,-,Percentage,Country data,-,Data reference period: November,Geographical coverage: Total national  excluding overseas territories;
Proportion of women in managerial positions,Southern Asia,64,Bhutan,2015,Female,-,-,-,18.5,-,-,Percentage,Country data,-,Data reference period: November,Geographical coverage: Total national  excluding overseas territories;
Proportion of women in managerial positions,Southern Asia,64,Bhutan,2014,Female,-,-,-,16.5,-,-,Percentage,Country data,-,Data reference period: November,Geographical coverage: Total national  excluding overseas territories;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2003,Female,-,-,-,20.4,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2008,Female,-,-,-,23.9,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2005,Female,-,-,-,22.4,-,-,Percentage,Country data,-,Age coverage - minimum age: 10 years old;,-
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2007,Female,-,-,-,23.8,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2009,Female,-,-,-,25.1,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2010,Female,-,-,-,25.5,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2004,Female,-,-,-,19.8,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2006,Female,-,-,-,20.5,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2011,Female,-,-,-,25.5,-,-,Percentage,Country data,-,-,-
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2002,Female,-,-,-,21.7,-,-,Percentage,Country data,-,Geographical coverage: Total national  excluding some areas,Age coverage - minimum age: 10 years old;
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2012,Female,-,-,-,28.4,-,-,Percentage,Country data,-,-,-
