Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of women in senior and middle management positions,Southern Asia,50,Bangladesh,2010,Female,-,-,-,10,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,50,Bangladesh,2006,Female,-,-,-,10.9,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,50,Bangladesh,2017,Female,-,-,-,11.5,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,356,India,2010,Female,-,-,-,12.3,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,356,India,2012,Female,-,-,-,13,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,462,Maldives,2016,Female,-,-,-,19.5,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Employment definition: Excluding own-use production workers;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2008,Female,-,-,-,5.2,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2007,Female,-,-,-,6.1,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2009,Female,-,-,-,5.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
Proportion of women in senior and middle management positions,Southern Asia,586,Pakistan,2010,Female,-,-,-,6.4,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing,Data reference period: Noncalendar year;,-,-,-,-,-
